"Time","mmgs"
0.39,1.24664
0.396,1.17554
0.402,1.26617
0.408,1.19171
0.414,1.25183
0.42,1.15021
0.426,1.31683
0.432,1.23352
0.438,1.24786
0.444,1.20636
0.45,1.2149
0.456,1.2326
0.462,1.2085
0.468,1.23627
0.474,1.22375
0.48,1.23779
0.486,1.22833
0.492,1.23383
0.498,1.25061
0.504,1.27228
0.51,1.22498
0.516,1.21368
0.522,1.22589
0.528,1.19934
0.534,1.22101
0.54,1.21735
0.546,1.21033
0.552,1.26129
0.558,1.22284
0.564,1.24451
0.57,1.22375
0.576,1.20026
0.582,1.24573
0.588,1.24847
0.594,1.24939
0.6,1.22009
0.606,1.20026
0.612,1.26312
0.618,1.27106
0.624,1.24481
0.63,1.18256
0.636,1.25122
0.642,1.16119
0.648,1.18927
0.654,1.19873
0.66,1.22742
0.666,1.24908
0.672,1.25916
0.678,1.2616
0.684,1.27563
0.69,1.21979
0.696,1.23169
0.702,1.18469
0.708,1.18347
0.714,1.22375
0.72,1.17188
0.726,1.29883
0.732,1.16791
0.738,1.20667
0.744,1.28113
0.75,1.26617
0.756,1.24603
0.762,1.27869
0.768,1.19507
0.774,1.22498
0.78,1.21185
0.786,1.26617
0.792,1.1792
0.798,1.26068
0.804,1.2442
0.81,1.1969
0.816,1.21429
0.822,1.22467
0.828,1.24237
0.834,1.25916
0.84,1.23749
0.846,1.21796
0.852,1.22894
0.858,1.21185
0.864,1.21368
0.87,1.21338
0.876,1.23291
0.882,1.25061
0.888,1.25061
0.894,1.24146
0.9,1.2381
0.906,1.24664
0.912,1.23108
0.918,1.21796
0.924,1.2265
0.93,1.21704
0.936,1.26282
0.942,1.24329
0.948,1.24481
0.954,1.21185
0.96,1.2149
0.966,1.2442
0.972,1.23413
0.978,1.23718
0.984,1.2384
0.99,1.23932
0.996,1.21582
1.002,1.22467
1.008,1.20026
1.014,1.23413
1.02,1.22894
1.026,1.23535
1.032,1.23962
1.038,1.20422
1.044,1.23596
1.05,1.23627
1.056,1.21857
1.062,1.24268
1.068,1.2381
1.074,1.24664
1.08,1.23505
1.086,1.22406
1.092,1.2207
1.098,1.23383
1.104,1.22772
1.11,1.22772
1.116,1.22681
1.122,1.21155
1.128,1.22223
1.134,1.23901
1.14,1.26465
1.146,1.2439
1.152,1.23016
1.158,1.22101
1.164,1.21765
1.17,1.22314
1.176,1.23566
1.182,1.22711
1.188,1.21368
1.194,1.22162
1.2,1.2149
1.206,1.22345
1.212,1.22955
1.218,1.22437
1.224,1.23688
1.23,1.22894
1.236,1.2381
1.242,1.2204
1.248,1.2149
1.254,1.23901
1.26,1.25092
1.266,1.22375
1.272,1.21246
1.278,1.19446
1.284,1.20514
1.29,1.24237
1.296,1.23383
1.302,1.2262
1.308,1.21613
1.314,1.20605
1.32,1.20148
1.326,1.23566
1.332,1.24298
1.338,1.24268
1.344,1.21857
1.35,1.21765
1.356,1.22345
1.362,1.23505
1.368,1.20422
1.374,1.22437
1.38,1.2262
1.386,1.22437
1.392,1.23077
1.398,1.19904
1.404,1.20911
1.41,1.21277
1.416,1.23596
1.422,1.23199
1.428,1.2146
1.434,1.20605
1.44,1.23291
1.446,1.2265
1.452,1.23047
1.458,1.22803
1.464,1.22192
1.47,1.2149
1.476,1.22437
1.482,1.22589
1.488,1.2207
1.494,1.22437
1.5,1.22742
1.506,1.21796
1.512,1.21002
1.518,1.21643
1.524,1.24054
1.53,1.22192
1.536,1.21857
1.542,1.22253
1.548,1.24451
1.554,1.23047
1.56,1.22284
1.566,1.22192
1.572,1.21521
