"Time","mmgs"
2.61,1.20331
2.616,1.21094
2.622,1.22894
2.628,1.23108
2.634,1.24512
2.64,1.20911
2.646,1.21521
2.652,1.24542
2.658,1.24817
2.664,1.25458
2.67,1.22528
2.676,1.22437
2.682,1.23749
2.688,1.25183
2.694,1.23962
2.7,1.2323
2.706,1.21643
2.712,1.22589
2.718,1.24176
2.724,1.23596
2.73,1.2442
2.736,1.23657
2.742,1.23627
2.748,1.21338
2.754,1.22711
2.76,1.23566
2.766,1.19934
2.772,1.23169
2.778,1.23352
2.784,1.25153
2.79,1.24237
2.796,1.22498
2.802,1.21979
2.808,1.2323
2.814,1.23169
2.82,1.24756
2.826,1.23566
2.832,1.22864
2.838,1.22162
2.844,1.24634
2.85,1.24268
2.856,1.27075
2.862,1.19781
2.868,1.17004
2.874,1.24176
2.88,1.26953
2.886,1.23688
2.892,1.22375
2.898,1.21826
2.904,1.2149
2.91,1.22772
2.916,1.23047
2.922,1.23169
2.928,1.22101
2.934,1.20575
2.94,1.24023
2.946,1.24542
2.952,1.24023
2.958,1.25732
2.964,1.22925
2.97,1.22345
2.976,1.20087
2.982,1.22711
2.988,1.24329
2.994,1.2381
3,1.23444
3.006,1.22345
3.012,1.24298
3.018,1.22894
3.024,1.20514
3.03,1.23749
3.036,1.25244
3.042,1.23993
3.048,1.24054
3.054,1.22314
3.06,1.21429
3.066,1.24878
3.072,1.23474
3.078,1.22528
3.084,1.22559
3.09,1.21063
3.096,1.22009
3.102,1.23016
3.108,1.24664
3.114,1.24115
3.12,1.23993
3.126,1.18042
3.132,1.22528
3.138,1.23199
3.144,1.23505
3.15,1.2442
3.156,1.23718
3.162,1.23016
3.168,1.23138
3.174,1.24084
3.18,1.23199
3.186,1.24481
3.192,1.22131
3.198,1.22528
3.204,1.23047
3.21,1.21979
3.216,1.22803
3.222,1.22253
3.228,1.25153
3.234,1.23383
3.24,1.23322
3.246,1.19934
3.252,1.21918
3.258,1.21674
3.264,1.22101
3.27,1.25122
3.276,1.22864
3.282,1.22131
3.288,1.22009
3.294,1.22925
3.3,1.24115
3.306,1.23016
3.312,1.24237
3.318,1.21887
3.324,1.22314
3.33,1.22284
3.336,1.21704
3.342,1.23993
3.348,1.24023
3.354,1.23871
3.36,1.23138
3.366,1.22772
3.372,1.21979
3.378,1.2088
3.384,1.23169
3.39,1.25488
3.396,1.26404
3.402,1.24359
3.408,1.21521
3.414,1.21124
3.42,1.23871
3.426,1.2146
3.432,1.24512
3.438,1.24847
3.444,1.20789
3.45,1.21582
3.456,1.22955
3.462,1.20758
3.468,1.22101
3.474,1.2265
3.48,1.2323
3.486,1.20728
3.492,1.22314
3.498,1.22894
3.504,1.22345
3.51,1.24481
3.516,1.24115
3.522,1.22925
3.528,1.24084
3.534,1.22528
3.54,1.21979
3.546,1.21979
3.552,1.21552
3.558,1.24084
3.564,1.24481
3.57,1.22803
3.576,1.23077
3.582,1.2207
3.588,1.22864
3.594,1.23932
3.6,1.23871
3.606,1.22925
3.612,1.22589
3.618,1.21979
3.624,1.23047
3.63,1.22101
3.636,1.2384
3.642,1.22894
3.648,1.22925
3.654,1.21857
3.66,1.23138
3.666,1.22925
3.672,1.21826
3.678,1.23779
3.684,1.25244
3.69,1.24176
