"Time","data_time"
0,738269
0.006,738269
0.012,738269
0.018,738269
0.024,738269
0.03,738269
0.036,738269
0.042,738269
0.048,738269
0.054,738269
0.06,738269
0.066,738269
0.072,738269
0.078,738269
0.084,738269
0.09,738269
0.096,738269
0.102,738269
0.108,738269
0.114,738269
0.12,738269
0.126,738269
0.132,738269
0.138,738269
0.144,738269
0.15,738269
0.156,738269
0.162,738269
0.168,738269
0.174,738269
0.18,738269
0.186,738269
0.192,738269
0.198,738269
0.204,738269
0.21,738269
0.216,738269
0.222,738269
0.228,738269
0.234,738269
0.24,738269
0.246,738269
0.252,738269
0.258,738269
0.264,738269
0.27,738269
0.276,738269
0.282,738269
0.288,738269
0.294,738269
0.3,738269
0.306,738269
0.312,738269
0.318,738269
0.324,738269
0.33,738269
0.336,738269
0.342,738269
0.348,738269
0.354,738269
0.36,738269
0.366,738269
0.372,738269
0.378,738269
0.384,738269
0.39,738269
0.396,738269
0.402,738269
0.408,738269
0.414,738269
0.42,738269
0.426,738269
0.432,738269
0.438,738269
0.444,738269
0.45,738269
0.456,738269
0.462,738269
0.468,738269
0.474,738269
0.48,738269
0.486,738269
0.492,738269
0.498,738269
0.504,738269
0.51,738269
0.516,738269
0.522,738269
0.528,738269
0.534,738269
0.54,738269
0.546,738269
0.552,738269
0.558,738269
0.564,738269
0.57,738269
0.576,738269
0.582,738269
0.588,738269
0.594,738269
0.6,738269
0.606,738269
0.612,738269
0.618,738269
0.624,738269
0.63,738269
0.636,738269
0.642,738269
0.648,738269
0.654,738269
0.66,738269
0.666,738269
0.672,738269
0.678,738269
0.684,738269
0.69,738269
0.696,738269
0.702,738269
0.708,738269
0.714,738269
0.72,738269
0.726,738269
0.732,738269
0.738,738269
0.744,738269
0.75,738269
0.756,738269
0.762,738269
0.768,738269
0.774,738269
0.78,738269
0.786,738269
0.792,738269
0.798,738269
0.804,738269
0.81,738269
0.816,738269
0.822,738269
0.828,738269
0.834,738269
0.84,738269
0.846,738269
0.852,738269
0.858,738269
0.864,738269
0.87,738269
0.876,738269
0.882,738269
0.888,738269
0.894,738269
0.9,738269
0.906,738269
0.912,738269
0.918,738269
0.924,738269
0.93,738269
0.936,738269
0.942,738269
0.948,738269
0.954,738269
0.96,738269
0.966,738269
0.972,738269
0.978,738269
0.984,738269
0.99,738269
0.996,738269
1.002,738269
1.008,738269
1.014,738269
1.02,738269
1.026,738269
1.032,738269
1.038,738269
1.044,738269
1.05,738269
1.056,738269
1.062,738269
1.068,738269
1.074,738269
1.08,738269
1.086,738269
1.092,738269
1.098,738269
1.104,738269
1.11,738269
1.116,738269
1.122,738269
1.128,738269
1.134,738269
1.14,738269
1.146,738269
1.152,738269
1.158,738269
1.164,738269
1.17,738269
1.176,738269
1.182,738269
1.188,738269
1.194,738269
1.2,738269
1.206,738269
1.212,738269
1.218,738269
1.224,738269
1.23,738269
1.236,738269
1.242,738269
1.248,738269
1.254,738269
1.26,738269
1.266,738269
1.272,738269
