"Time","mmgs"
2.124,1.17462
2.13,1.21277
2.136,1.22162
2.142,1.30615
2.148,1.19598
2.154,1.15967
2.16,1.17157
2.166,1.23505
2.172,1.28113
2.178,1.22772
2.184,1.26099
2.19,1.23535
2.196,1.1969
2.202,1.21826
2.208,1.24176
2.214,1.24847
2.22,1.23688
2.226,1.21613
2.232,1.20789
2.238,1.22375
2.244,1.22314
2.25,1.23077
2.256,1.23474
2.262,1.23566
2.268,1.2442
2.274,1.23108
2.28,1.22406
2.286,1.2204
2.292,1.21704
2.298,1.22986
2.304,1.23779
2.31,1.2384
2.316,1.23749
2.322,1.22192
2.328,1.21796
2.334,1.22589
2.34,1.22437
2.346,1.24329
2.352,1.25458
2.358,1.23138
2.364,1.24054
2.37,1.01318
2.376,1.13098
2.382,1.23383
2.388,1.36505
2.394,1.25885
2.4,1.34705
2.406,1.2796
2.412,1.22131
2.418,1.1203
2.424,1.23383
2.43,1.31836
2.436,1.30432
2.442,1.16302
2.448,1.22559
2.454,1.35803
2.46,1.22192
2.466,1.22192
2.472,1.14227
2.478,1.3562
2.484,1.25336
2.49,1.20087
2.496,1.24207
2.502,1.21674
2.508,1.20972
2.514,1.2323
2.52,1.25061
2.526,1.25916
2.532,1.24695
2.538,1.25031
2.544,1.22925
2.55,1.2085
2.556,1.23138
2.562,1.18805
2.568,1.31256
2.574,1.28113
2.58,1.08734
2.586,1.34613
2.592,1.15631
2.598,1.25641
2.604,1.17035
2.61,1.56647
2.616,0.815125
2.622,1.03027
2.628,1.38031
2.634,1.18561
2.64,1.26801
2.646,1.26556
2.652,1.23199
2.658,1.20667
2.664,1.21155
2.67,1.25549
2.676,1.22101
2.682,1.21826
2.688,1.20819
2.694,1.21429
2.7,1.15021
2.706,1.22894
2.712,1.25488
2.718,1.25122
2.724,1.24603
2.73,1.23993
2.736,1.23993
2.742,1.21948
2.748,1.21826
2.754,1.22528
2.76,1.22589
2.766,1.24695
2.772,1.24084
2.778,1.23077
2.784,1.13342
2.79,1.25916
2.796,1.24878
2.802,1.24084
2.808,1.22345
2.814,1.21948
2.82,1.23199
2.826,1.2146
2.832,1.21155
2.838,1.2146
2.844,1.20789
2.85,1.20392
2.856,1.21765
2.862,1.22772
2.868,1.22833
2.874,1.22192
2.88,1.21124
2.886,1.23566
2.892,1.26007
2.898,1.25183
2.904,1.22345
2.91,1.22101
2.916,1.22803
2.922,1.2204
2.928,1.22101
2.934,1.20667
2.94,1.22314
2.946,1.23535
2.952,1.25153
2.958,1.22498
2.964,1.23779
2.97,1.2146
2.976,1.21399
2.982,1.22864
2.988,1.21765
2.994,1.20178
3,1.28113
3.006,1.25
3.012,1.24146
3.018,1.20392
3.024,1.24878
3.03,1.22894
3.036,1.17401
3.042,1.27289
3.048,1.21735
3.054,1.21948
3.06,1.19965
3.066,1.24695
3.072,1.18866
3.078,1.2149
3.084,1.24237
3.09,1.21338
3.096,1.22772
3.102,1.24512
3.108,1.20911
3.114,1.27441
3.12,1.25336
3.126,1.15082
3.132,1.26007
3.138,1.26526
3.144,1.24084
3.15,1.31622
3.156,1.16882
3.162,1.16028
3.168,1.22894
3.174,1.23779
3.18,1.2442
3.186,1.32355
3.192,1.14716
3.198,1.28662
3.204,1.25641
3.21,1.20026
3.216,1.15601
3.222,1.18652
3.228,1.02661
3.234,1.1377
3.24,1.2442
3.246,1.38306
3.252,1.24878
3.258,1.23779
3.264,0.944214
3.27,1.22192
3.276,1.17798
3.282,1.34216
3.288,1.46851
3.294,1.37726
3.3,1.23505
3.306,1.38885
3.312,1.36047
3.318,1.36108
3.324,1.09589
3.33,1.11267
3.336,0.81604
3.342,1.03882
3.348,1.35681
3.354,1.46118
3.36,1.43799
