"Time","data_time"
1.068,738269
1.074,738269
1.08,738269
1.086,738269
1.092,738269
1.098,738269
1.104,738269
1.11,738269
1.116,738269
1.122,738269
1.128,738269
1.134,738269
1.14,738269
1.146,738269
1.152,738269
1.158,738269
1.164,738269
1.17,738269
1.176,738269
1.182,738269
1.188,738269
1.194,738269
1.2,738269
1.206,738269
1.212,738269
1.218,738269
1.224,738269
1.23,738269
1.236,738269
1.242,738269
1.248,738269
1.254,738269
1.26,738269
1.266,738269
1.272,738269
1.278,738269
1.284,738269
1.29,738269
1.296,738269
1.302,738269
1.308,738269
1.314,738269
1.32,738269
1.326,738269
1.332,738269
1.338,738269
1.344,738269
1.35,738269
1.356,738269
1.362,738269
1.368,738269
1.374,738269
1.38,738269
1.386,738269
1.392,738269
1.398,738269
1.404,738269
1.41,738269
1.416,738269
1.422,738269
1.428,738269
1.434,738269
1.44,738269
1.446,738269
1.452,738269
1.458,738269
1.464,738269
1.47,738269
1.476,738269
1.482,738269
1.488,738269
1.494,738269
1.5,738269
1.506,738269
1.512,738269
1.518,738269
1.524,738269
1.53,738269
1.536,738269
1.542,738269
1.548,738269
1.554,738269
1.56,738269
1.566,738269
1.572,738269
1.578,738269
1.584,738269
1.59,738269
1.596,738269
1.602,738269
1.608,738269
1.614,738269
1.62,738269
1.626,738269
1.632,738269
1.638,738269
1.644,738269
1.65,738269
1.656,738269
1.662,738269
1.668,738269
1.674,738269
1.68,738269
1.686,738269
1.692,738269
1.698,738269
1.704,738269
1.71,738269
1.716,738269
1.722,738269
1.728,738269
1.734,738269
1.74,738269
1.746,738269
1.752,738269
1.758,738269
1.764,738269
1.77,738269
1.776,738269
1.782,738269
1.788,738269
1.794,738269
1.8,738269
1.806,738269
1.812,738269
1.818,738269
1.824,738269
1.83,738269
1.836,738269
1.842,738269
1.848,738269
1.854,738269
1.86,738269
1.866,738269
1.872,738269
1.878,738269
1.884,738269
1.89,738269
1.896,738269
1.902,738269
1.908,738269
1.914,738269
1.92,738269
1.926,738269
1.932,738269
1.938,738269
1.944,738269
1.95,738269
1.956,738269
1.962,738269
1.968,738269
1.974,738269
1.98,738269
1.986,738269
1.992,738269
1.998,738269
2.004,738269
2.01,738269
2.016,738269
2.022,738269
2.028,738269
2.034,738269
2.04,738269
2.046,738269
2.052,738269
2.058,738269
2.064,738269
2.07,738269
2.076,738269
2.082,738269
2.088,738269
2.094,738269
2.1,738269
2.106,738269
2.112,738269
2.118,738269
2.124,738269
2.13,738269
2.136,738269
2.142,738269
2.148,738269
2.154,738269
2.16,738269
2.166,738269
2.172,738269
2.178,738269
2.184,738269
2.19,738269
2.196,738269
2.202,738269
2.208,738269
2.214,738269
2.22,738269
2.226,738269
2.232,738269
2.238,738269
2.244,738269
2.25,738269
2.256,738269
2.262,738269
2.268,738269
2.274,738269
2.28,738269
2.286,738269
2.292,738269
2.298,738269
2.304,738269
2.31,738269
2.316,738269
2.322,738269
2.328,738269
2.334,738269
2.34,738269
2.346,738269
2.352,738269
2.358,738269
2.364,738269
2.37,738269
2.376,738269
2.382,738269
2.388,738269
2.394,738269
2.4,738269
2.406,738269
2.412,738269
2.418,738269
2.424,738269
2.43,738269
2.436,738269
2.442,738269
2.448,738269
2.454,738269
2.46,738269
2.466,738269
2.472,738269
2.478,738269
2.484,738269
2.49,738269
2.496,738269
