"Time","data_time"
0.582,738272
0.588,738272
0.594,738272
0.6,738272
0.606,738272
0.612,738272
0.618,738272
0.624,738272
0.63,738272
0.636,738272
0.642,738272
0.648,738272
0.654,738272
0.66,738272
0.666,738272
0.672,738272
0.678,738272
0.684,738272
0.69,738272
0.696,738272
0.702,738272
0.708,738272
0.714,738272
0.72,738272
0.726,738272
0.732,738272
0.738,738272
0.744,738272
0.75,738272
0.756,738272
0.762,738272
0.768,738272
0.774,738272
0.78,738272
0.786,738272
0.792,738272
0.798,738272
0.804,738272
0.81,738272
0.816,738272
0.822,738272
0.828,738272
0.834,738272
0.84,738272
0.846,738272
0.852,738272
0.858,738272
0.864,738272
0.87,738272
0.876,738272
0.882,738272
0.888,738272
0.894,738272
0.9,738272
0.906,738272
0.912,738272
0.918,738272
0.924,738272
0.93,738272
0.936,738272
0.942,738272
0.948,738272
0.954,738272
0.96,738272
0.966,738272
0.972,738272
0.978,738272
0.984,738272
0.99,738272
0.996,738272
1.002,738272
1.008,738272
1.014,738272
1.02,738272
1.026,738272
1.032,738272
1.038,738272
1.044,738272
1.05,738272
1.056,738272
1.062,738272
1.068,738272
1.074,738272
1.08,738272
1.086,738272
1.092,738272
1.098,738272
1.104,738272
1.11,738272
1.116,738272
1.122,738272
1.128,738272
1.134,738272
1.14,738272
1.146,738272
1.152,738272
1.158,738272
1.164,738272
1.17,738272
1.176,738272
1.182,738272
1.188,738272
1.194,738272
1.2,738272
1.206,738272
1.212,738272
1.218,738272
1.224,738272
1.23,738272
1.236,738272
1.242,738272
1.248,738272
1.254,738272
1.26,738272
1.266,738272
1.272,738272
1.278,738272
1.284,738272
1.29,738272
1.296,738272
1.302,738272
1.308,738272
1.314,738272
1.32,738272
1.326,738272
1.332,738272
1.338,738272
1.344,738272
1.35,738272
1.356,738272
1.362,738272
1.368,738272
1.374,738272
1.38,738272
1.386,738272
1.392,738272
1.398,738272
1.404,738272
1.41,738272
1.416,738272
1.422,738272
1.428,738272
1.434,738272
1.44,738272
1.446,738272
1.452,738272
1.458,738272
1.464,738272
1.47,738272
1.476,738272
1.482,738272
1.488,738272
1.494,738272
1.5,738272
1.506,738272
1.512,738272
1.518,738272
1.524,738272
1.53,738272
1.536,738272
1.542,738272
1.548,738272
1.554,738272
1.56,738272
1.566,738272
1.572,738272
1.578,738272
1.584,738272
1.59,738272
1.596,738272
1.602,738272
1.608,738272
1.614,738272
1.62,738272
1.626,738272
1.632,738272
1.638,738272
1.644,738272
1.65,738272
1.656,738272
1.662,738272
1.668,738272
1.674,738272
1.68,738272
1.686,738272
1.692,738272
1.698,738272
1.704,738272
1.71,738272
1.716,738272
1.722,738272
1.728,738272
1.734,738272
1.74,738272
1.746,738272
1.752,738272
1.758,738272
1.764,738272
1.77,738272
1.776,738272
1.782,738272
1.788,738272
1.794,738272
1.8,738272
1.806,738272
1.812,738272
1.818,738272
1.824,738272
1.83,738272
1.836,738272
1.842,738272
1.848,738272
1.854,738272
1.86,738272
1.866,738272
1.872,738272
1.878,738272
1.884,738272
1.89,738272
1.896,738272
1.902,738272
1.908,738272
1.914,738272
1.92,738272
1.926,738272
1.932,738272
1.938,738272
1.944,738272
1.95,738272
1.956,738272
1.962,738272
1.968,738272
1.974,738272
1.98,738272
1.986,738272
1.992,738272
1.998,738272
2.004,738272
2.01,738272
2.016,738272
2.022,738272
2.028,738272
2.034,738272
2.04,738272
2.046,738272
2.052,738272
2.058,738272
2.064,738272
2.07,738272
2.076,738272
2.082,738272
2.088,738272
2.094,738272
2.1,738272
2.106,738272
2.112,738272
2.118,738272
2.124,738272
2.13,738272
2.136,738272
2.142,738272
2.148,738272
2.154,738272
2.16,738272
2.166,738272
2.172,738272
2.178,738272
2.184,738272
2.19,738272
2.196,738272
2.202,738272
2.208,738272
2.214,738272
2.22,738272
2.226,738272
2.232,738272
2.238,738272
2.244,738272
2.25,738272
2.256,738272
2.262,738272
2.268,738272
2.274,738272
2.28,738272
2.286,738272
2.292,738272
2.298,738272
2.304,738272
2.31,738272
2.316,738272
2.322,738272
2.328,738272
2.334,738272
2.34,738272
2.346,738272
2.352,738272
2.358,738272
2.364,738272
2.37,738272
2.376,738272
2.382,738272
2.388,738272
2.394,738272
2.4,738272
2.406,738272
2.412,738272
2.418,738272
2.424,738272
2.43,738272
2.436,738272
2.442,738272
2.448,738272
2.454,738272
2.46,738272
2.466,738272
2.472,738272
2.478,738272
2.484,738272
2.49,738272
2.496,738272
2.502,738272
2.508,738272
2.514,738272
2.52,738272
2.526,738272
2.532,738272
2.538,738272
2.544,738272
2.55,738272
2.556,738272
2.562,738272
2.568,738272
2.574,738272
2.58,738272
2.586,738272
2.592,738272
2.598,738272
2.604,738272
2.61,738272
2.616,738272
2.622,738272
2.628,738272
2.634,738272
2.64,738272
2.646,738272
2.652,738272
2.658,738272
2.664,738272
2.67,738272
2.676,738272
2.682,738272
2.688,738272
2.694,738272
2.7,738272
2.706,738272
2.712,738272
2.718,738272
