"Time","mmgs"
2.682,1.23444
2.688,1.23352
2.694,1.22284
2.7,1.21857
2.706,1.22864
2.712,1.22437
2.718,1.23352
2.724,1.23413
2.73,1.23016
2.736,1.22833
2.742,1.22467
2.748,1.2204
2.754,1.23383
2.76,1.23688
2.766,1.2384
2.772,1.21704
2.778,1.20636
2.784,1.20728
2.79,1.21704
2.796,1.23047
2.802,1.24969
2.808,1.23627
2.814,1.22711
2.82,1.21857
2.826,1.23657
2.832,1.1969
2.838,1.23993
2.844,1.24481
2.85,1.22192
2.856,1.21887
2.862,1.24786
2.868,1.2381
2.874,1.23077
2.88,1.21796
2.886,1.33606
2.892,1.24634
2.898,1.20331
2.904,1.14594
2.91,1.18256
2.916,1.22467
2.922,1.26709
2.928,1.2677
2.934,1.25549
2.94,1.21338
2.946,1.20819
2.952,1.23291
2.958,1.2262
2.964,1.22681
2.97,1.2439
2.976,1.22711
2.982,1.23169
2.988,1.22101
2.994,1.21613
3,1.21796
3.006,1.20972
3.012,1.22559
3.018,1.23779
3.024,1.24115
3.03,1.24359
3.036,1.2323
3.042,1.22711
3.048,1.23871
3.054,1.2323
3.06,1.22101
3.066,1.21796
3.072,1.21735
3.078,1.21704
3.084,1.21887
3.09,1.23047
3.096,1.24054
3.102,1.24146
3.108,1.25244
3.114,1.23535
3.12,1.22803
3.126,1.21521
3.132,1.21674
3.138,1.22192
3.144,1.2326
3.15,1.22528
3.156,1.22406
3.162,1.22284
3.168,1.23596
3.174,1.22131
3.18,1.22223
3.186,1.22894
3.192,1.24115
3.198,1.23108
3.204,1.22253
3.21,1.21826
3.216,1.21521
3.222,1.22253
3.228,1.23718
3.234,1.24847
3.24,1.22223
3.246,1.21338
3.252,1.21979
3.258,1.21857
3.264,1.22284
3.27,1.24023
3.276,1.24725
3.282,1.23535
3.288,1.21796
3.294,1.2207
3.3,1.21246
3.306,1.23444
3.312,1.24084
3.318,1.24756
3.324,1.23749
3.33,1.22894
3.336,1.21796
3.342,1.22681
3.348,1.23108
3.354,1.23199
3.36,1.2265
3.366,1.21094
3.372,1.22467
3.378,1.20514
3.384,1.21704
3.39,1.21063
3.396,1.24817
3.402,1.2561
3.408,1.2381
3.414,1.21338
3.42,1.20941
3.426,1.2207
3.432,1.22528
3.438,1.24268
3.444,1.24084
3.45,1.2323
3.456,1.22559
3.462,1.203
3.468,1.22284
3.474,1.23108
3.48,1.21826
3.486,1.22192
3.492,1.22833
3.498,1.2265
3.504,1.21338
3.51,1.21399
3.516,1.22742
3.522,1.23627
3.528,1.23627
3.534,1.22406
3.54,1.22192
3.546,1.21643
3.552,1.2204
3.558,1.22589
3.564,1.22894
3.57,1.21704
3.576,1.22314
3.582,1.21552
3.588,1.21796
3.594,1.22284
3.6,1.22742
3.606,1.24176
3.612,1.24054
3.618,1.22894
3.624,1.22375
3.63,1.22192
3.636,1.21002
3.642,1.22955
3.648,1.22711
3.654,1.23596
3.66,1.23199
3.666,1.23505
3.672,1.23444
3.678,1.22925
3.684,1.22101
3.69,1.2326
3.696,1.23596
3.702,1.22711
3.708,1.22162
3.714,1.20605
