"Time","mmgs"
1.086,1.23474
1.092,1.22131
1.098,1.2323
1.104,1.22314
1.11,1.21521
1.116,1.23138
1.122,1.22223
1.128,1.22711
1.134,1.23322
1.14,1.24146
1.146,1.24146
1.152,1.18835
1.158,1.21887
1.164,1.21887
1.17,1.23047
1.176,1.24725
1.182,1.25824
1.188,1.23535
1.194,1.22284
1.2,1.20483
1.206,1.22681
1.212,1.23352
1.218,1.24329
1.224,1.24146
1.23,1.23627
1.236,1.22467
1.242,1.23352
1.248,1.23108
1.254,1.23138
1.26,1.23962
1.266,1.24023
1.272,1.21429
1.278,1.21887
1.284,1.22437
1.29,1.21704
1.296,1.22009
1.302,1.24084
1.308,1.23901
1.314,1.23535
1.32,1.2265
1.326,1.2027
1.332,1.22192
1.338,1.21979
1.344,1.23596
1.35,1.24176
1.356,1.22467
1.362,1.22162
1.368,1.21857
1.374,1.23871
1.38,1.20789
1.386,1.23169
1.392,1.24115
1.398,1.22559
1.404,1.24542
1.41,1.21155
1.416,1.22711
1.422,1.22345
1.428,1.24512
1.434,1.22864
1.44,1.22925
1.446,1.23199
1.452,1.23627
1.458,1.22162
1.464,1.22559
1.47,1.21338
1.476,1.22467
1.482,1.22986
1.488,1.24023
1.494,1.23444
1.5,1.22284
1.506,1.21857
1.512,1.22955
1.518,1.21796
1.524,1.25
1.53,1.24542
1.536,1.24268
1.542,1.21704
1.548,1.23108
1.554,1.22559
1.56,1.23688
1.566,1.25122
1.572,1.25854
1.578,1.26648
1.584,1.24756
1.59,1.20758
1.596,1.22742
1.602,1.21613
1.608,1.2262
1.614,1.25549
1.62,1.24237
1.626,1.23566
1.632,1.22681
1.638,1.22375
1.644,1.22742
1.65,1.22833
1.656,1.24573
1.662,1.2323
1.668,1.23871
1.674,1.24115
1.68,1.17645
1.686,1.2262
1.692,1.25153
1.698,1.23016
1.704,1.23596
1.71,1.23291
1.716,1.23322
1.722,1.22131
1.728,1.22406
1.734,1.23352
1.74,1.23596
1.746,1.2561
1.752,1.24908
1.758,1.21918
1.764,1.21643
1.77,1.21338
1.776,1.23199
1.782,1.2323
1.788,1.23657
1.794,1.25366
1.8,1.22528
1.806,1.21948
1.812,1.2204
1.818,1.22772
1.824,1.25244
1.83,1.24939
1.836,1.23962
1.842,1.21552
1.848,1.20361
1.854,1.21979
1.86,1.24084
1.866,1.23627
1.872,1.2323
1.878,1.2442
1.884,1.2204
1.89,1.2326
1.896,1.22986
1.902,1.22223
1.908,1.23169
1.914,1.23138
1.92,1.23505
1.926,1.22711
1.932,1.23657
1.938,1.21521
1.944,1.22314
1.95,1.22742
1.956,1.23199
1.962,1.23352
1.968,1.24329
1.974,1.22467
1.98,1.24786
1.986,1.22559
1.992,1.21796
1.998,1.22986
2.004,1.21826
2.01,1.22284
2.016,1.24237
2.022,1.23413
2.028,1.2146
2.034,1.22894
2.04,1.22925
2.046,1.23749
2.052,1.23352
2.058,1.23291
2.064,1.23352
2.07,1.2326
2.076,1.23962
2.082,1.22986
2.088,1.24084
2.094,1.23291
2.1,1.23779
2.106,1.24603
2.112,1.22955
2.118,1.21765
2.124,1.23535
2.13,1.23199
2.136,1.22925
2.142,1.22314
2.148,1.22131
2.154,1.25031
2.16,1.21704
2.166,1.2326
2.172,1.22162
2.178,1.24512
2.184,1.24451
2.19,1.2265
2.196,1.22925
2.202,1.21521
2.208,1.21887
2.214,1.22467
2.22,1.23047
2.226,1.2381
2.232,1.21735
2.238,1.22223
2.244,1.22864
2.25,1.22101
2.256,1.2207
2.262,1.22559
2.268,1.25122
2.274,1.2439
2.28,1.22467
2.286,1.22314
2.292,1.2149
2.298,1.22192
2.304,1.24634
2.31,1.25824
2.316,1.24023
2.322,1.22223
2.328,1.21887
2.334,1.23383
2.34,1.23779
2.346,1.24451
2.352,1.24023
2.358,1.24115
2.364,1.22437
2.37,1.2265
2.376,1.23383
2.382,1.23901
2.388,1.22955
2.394,1.22284
2.4,1.23688
2.406,1.22528
2.412,1.21246
2.418,1.23993
2.424,1.20697
2.43,1.21521
2.436,1.23413
2.442,1.23322
2.448,1.21674
2.454,1.21704
2.46,1.21582
2.466,1.21735
2.472,1.23108
2.478,1.22711
2.484,1.24664
2.49,1.23169
2.496,1.24298
2.502,1.24268
2.508,1.22681
2.514,1.2442
2.52,1.21399
2.526,1.24054
2.532,1.23474
2.538,1.22101
2.544,1.23596
2.55,1.21887
2.556,1.22345
2.562,1.23779
2.568,1.22528
2.574,1.22498
2.58,1.24542
2.586,1.22192
2.592,1.22101
2.598,1.21857
2.604,1.22528
2.61,1.21124
2.616,1.20178
2.622,1.24603
2.628,1.22925
2.634,1.22162
2.64,1.20819
2.646,1.22559
2.652,1.22314
2.658,1.23505
2.664,1.23138
2.67,1.2326
2.676,1.22742
2.682,1.21521
2.688,1.21918
2.694,1.23413
2.7,1.23016
2.706,1.24512
2.712,1.22101
2.718,1.22284
2.724,1.21857
2.73,1.22772
2.736,1.23779
2.742,1.25305
2.748,1.24268
2.754,1.22711
2.76,1.24359
2.766,1.22223
2.772,1.2262
2.778,1.21857
2.784,1.23505
2.79,1.22192
2.796,1.22772
2.802,1.24023
2.808,1.22803
2.814,1.21643
2.82,1.24176
2.826,1.23657
2.832,1.24023
2.838,1.2204
2.844,1.21643
2.85,1.23138
2.856,1.26617
2.862,1.23688
2.868,1.22925
2.874,1.22131
2.88,1.22955
2.886,1.23444
2.892,1.24084
2.898,1.22009
2.904,1.22192
2.91,1.2265
2.916,1.21552
2.922,1.22711
2.928,1.22925
2.934,1.21246
2.94,1.23596
2.946,1.23444
2.952,1.23291
2.958,1.21948
2.964,1.22589
2.97,1.21796
2.976,1.22498
2.982,1.23291
2.988,1.22986
2.994,1.2265
3,1.21368
3.006,1.22559
3.012,1.23352
3.018,1.24451
3.024,1.24603
3.03,1.22131
3.036,1.2265
3.042,1.22375
3.048,1.24146
3.054,1.23352
3.06,1.25305
3.066,1.22894
3.072,1.22864
3.078,1.21674
3.084,1.22314
3.09,1.22437
3.096,1.23077
3.102,1.22955
3.108,1.22223
3.114,1.23138
3.12,1.21979
3.126,1.21948
3.132,1.2265
3.138,1.20697
3.144,1.22772
3.15,1.24176
3.156,1.21521
3.162,1.22559
3.168,1.21918
3.174,1.22559
3.18,1.22375
3.186,1.24023
3.192,1.24237
3.198,1.21735
3.204,1.24512
3.21,1.23413
3.216,1.24817
3.222,1.22589
3.228,1.23138
3.234,1.21429
3.24,1.23535
3.246,1.23627
3.252,1.2149
3.258,1.24481
3.264,1.22681
3.27,1.20026
3.276,1.21277
3.282,1.23291
3.288,1.23138
3.294,1.24054
3.3,1.23688
3.306,1.21765
3.312,1.21552
3.318,1.20911
3.324,1.23138
3.33,1.22589
3.336,1.23291
3.342,1.2384
3.348,1.22498
3.354,1.18713
3.36,1.21582
3.366,1.25
3.372,1.25427
3.378,1.25366
3.384,1.2326
3.39,1.22131
3.396,1.21704
3.402,1.22589
3.408,1.24237
3.414,1.2381
3.42,1.2439
3.426,1.22711
3.432,1.21613
3.438,1.21979
3.444,1.2088
3.45,1.24023
3.456,1.24084
3.462,1.23169
3.468,1.22925
3.474,1.23047
3.48,1.20544
3.486,1.23108
3.492,1.21979
3.498,1.23108
3.504,1.2439
3.51,1.22589
3.516,1.22955
3.522,1.22009
3.528,1.22437
3.534,1.23657
3.54,1.23901
3.546,1.23322
3.552,1.23535
3.558,1.2323
3.564,1.22345
3.57,1.23047
3.576,1.24329
3.582,1.24207
3.588,1.23566
3.594,1.24573
3.6,1.22498
3.606,1.22681
3.612,1.21643
3.618,1.21185
3.624,1.2323
3.63,1.20056
3.636,1.24298
3.642,1.22894
3.648,1.21521
3.654,1.21277
3.66,1.19812
3.666,1.24268
3.672,1.23291
3.678,1.23627
3.684,1.21338
3.69,1.23077
3.696,1.22742
3.702,1.22833
3.708,1.22284
3.714,1.21552
3.72,1.24756
3.726,1.24359
3.732,1.23688
3.738,1.23627
3.744,1.21887
3.75,1.20758
3.756,1.22009
3.762,1.23474
3.768,1.25122
3.774,1.22681
3.78,1.23169
3.786,1.23047
3.792,1.20697
3.798,1.21918
3.804,1.23383
3.81,1.21155
